food_id,food_name,calories,protein,fat,carbs,fiber,sugar,sodium
58,Baked egg,218.8469849,11.88178158,12.65217781,15.4169302,0.0,0.0,523.2875366
59,Plain omelette/omlet,272.4109802,9.664055824,25.74034882,0.644825161,1.0,8.0,226.1813965
60,Stuffed egg omelette/omlet,203.5148621,8.602519035,17.77450371,2.30194664,0.0,0.0,267.1867981
61,Pancake,203.3556061,5.682128906,10.81661701,20.48965073,1.0,8.0,143.69841
62,Keema pancake,176.2749786,9.006999969,11.2455883,9.559337616,1.0,8.0,125.3999176
63,Vegetable pancake,125.1763458,3.865659475,6.57317543,12.23516846,1.0,8.0,116.6941986
64,Jam and fruit pancake,162.0184326,3.791611433,7.008038521,20.7275753,1.8,10.0,93.0852356
65,Khoa and coconut pancake,271.9807129,6.979613304,15.29441357,27.32319069,1.0,8.0,101.0040588
66,Brown stock,21.32481384,1.948392749,1.384061098,0.251715273,1.0,8.0,44.59760284
67,Vegetable stock,17.60440254,0.299693078,1.377679467,0.959589601,1.0,8.0,49.74882507
68,Chicken stock,29.88019753,3.686460972,1.510480165,0.367801577,0.0,0.0,58.57991791
69,Clear tomato soup (Tamatar ka soup),80.07408905,4.793009281,12.22490883,3.450685263,2.5,3.0,5135.742188
70,Lentil soup,31.16623878,9.653425217,11.67877769,3.944583178,4.0,1.0,10418.84277
71,Chicken consomme (Clear chicken soup),47.9448204,11.47149181,12.01870346,1.185413957,0.0,0.0,8953.636719
72,Cream of tomato soup,97.81221771,4.6103158,13.11548424,3.928005934,2.5,3.0,4461.222656
73,Cream of green peas soup,127.8408279,7.126903534,14.78137112,6.750673294,2.5,3.0,4999.696289
74,Cream of spinach soup,100.5377808,5.214042664,13.30996323,3.446488857,2.5,3.0,4429.807617
75,Cream of mixed vegetable soup,59.64580536,6.844812393,9.049255371,4.931180954,1.0,8.0,5655.449707
76,Cream of mushroom soup,117.2778015,6.640302181,15.50072861,3.742418528,1.0,8.0,5276.05957
77,Chicken sweet corn soup,28.32048225,14.47509766,12.59302998,1.632999063,0.0,0.0,12205.33496
78,Minestrone soup,42.65936279,9.303705215,11.08742046,3.714839697,1.0,8.0,8875.064453
79,Egg drop soup,26.63651466,12.92991352,13.51639652,1.100723863,0.0,0.0,12418.84375
80,Chinese cabbage and meat ball soup,484.305481,5.210831642,56.57162094,1.429005623,0.0,0.0,4249.40625
81,French onion soup,55.60973358,11.40778637,14.39195728,4.275220394,1.0,8.0,11202.8877
82,Hot and sour soup,31.51394653,3.116294622,1.312411904,1.775766611,1.0,8.0,163.2559967
83,Talaumein soup,35.62731171,10.12203026,12.78479099,4.171391487,1.0,8.0,11088.1377
84,Cold cucumber soup (Thanda kheere ka soup),48.02956772,2.98764348,1.990923285,4.580854416,2.5,3.0,121.3151627
85,Cold summer garden soup,49.18648148,8.571334839,14.08133507,2.645667791,1.0,8.0,9919.625
86,Chapati/Roti,202.3111115,5.875,3.561111212,35.64999771,1.0,8.0,1.161111116
87,Plain parantha/paratha,298.3008423,5.055602074,16.85818481,30.69233513,1.0,8.0,62.0662384
88,Potato parantha/paratha (Aloo ka parantha/paratha),205.0423889,3.697914362,10.22027779,23.92007446,1.0,8.0,127.203125
89,Radish parantha/paratha (Mooli ka parantha/paratha),183.524231,3.297506809,9.52780056,20.54241562,2.5,3.0,127.0269699
90,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.0704041,3.726067066,9.465125084,18.83708191,1.0,8.0,190.0313263
91,Dal parantha/paratha,268.2444763,6.775821686,13.05357742,30.03248215,4.0,1.0,156.1320496
92,Sprouted moong parantha/paratha,228.5943909,4.292011261,12.42643166,24.30602646,4.0,1.0,153.9376984
93,Pea parantha/paratha (Matar ka parantha/paratha),190.7311401,5.594754696,8.798940659,21.51273155,1.0,8.0,109.9911575
94,Keema parantha/paratha,238.0861816,9.405674934,13.90981865,18.35640526,1.0,8.0,140.6228943
95,Paneer parantha/paratha,262.9658203,7.98404026,14.6214962,24.32621384,0.0,5.0,142.5160675
96,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.4920959,5.544742584,12.08664894,21.38927078,2.5,3.0,177.1880493
97,Poori,737.6346436,1.354683757,77.6057663,8.22033596,1.0,8.0,31.73290634
98,Spinach poori (Palak poori),684.2543945,1.421851873,71.85770416,7.757184982,2.5,3.0,35.473629
99,Methi poori,710.0203247,1.453461647,74.60414886,7.981307507,1.0,8.0,35.3730011
100,Dal stuffed poori,785.1628418,2.075348854,81.68533325,10.13720036,4.0,1.0,128.1795044
101,Potato stuffed poori (Aloo ki poori),776.7381592,1.521392703,81.35301971,9.400838852,1.0,8.0,69.8640976
102,Tandoori parantha/paratha,295.3700562,5.079640865,16.51257515,30.74011803,1.0,8.0,1.138922095
103,Boiled rice (Uble chawal),117.1896667,2.603333235,0.183333337,25.72000122,1.0,8.0,1.053333402
104,Plain pulao,140.2079163,2.338649035,4.622068882,21.8161087,1.0,8.0,193.7613678
105,Mixed vegetable pulao,113.0494385,2.72278738,3.327634573,17.48991776,1.0,8.0,187.9197693
106,Mushroom pulao,124.2864532,2.522516727,4.029394627,19.01836014,1.0,8.0,222.3636322
107,Sprouted moong pulao,112.9714737,2.188207865,3.60783267,17.49124718,4.0,1.0,153.1640778
108,Paneer pulao,581.9120483,1.984807253,59.80920792,8.757226944,0.0,5.0,72.27726746
109,Peanut pulao,193.2752686,5.315926075,9.512810707,21.18099976,1.0,8.0,168.3979492
110,Navratan pulao,261.7077637,6.198443413,9.453126907,36.97904205,1.0,8.0,334.2568665
