food_name,calories,protein,fat,carbs,fiber,sugar,meal_type,cat
Chicken Dinner NFS Frozen Meal,129.0,8.9,4.3,13.2,1.0,1.2,dinner,non-veg
Wolffish Atlantic Raw,96.0,17.5,2.4,0.0,0.0,0.0,lunch,non-veg
Bacon And Beef Sticks,517.0,29.1,44.2,0.8,0.0,0.8,break-fast,non-veg
Scallops Coated Baked Or Broiled Fat Not Added In Cooking,134.0,13.8,1.2,15.8,0.6,1.1,lunch,non-veg
Beef Composite Of Trimmed Retail Cuts Separable Lean Only Trimmed To 1/8 Inch Fat Select Raw,130.0,22.4,4.6,0.0,0.0,0.0,dinner,non-veg
Pompano Baked Or Broiled Fat Added In Cooking,233.0,22.6,15.3,0.1,0.0,0.0,lunch,non-veg
Pork Chop Breaded Or Floured Fried Lean Only Eaten,270.0,25.0,11.1,16.3,1.0,1.4,dinner,non-veg
Sirloin Chopped With Gravy Mashed Potatoes Vegetable Frozen Meal,155.0,7.9,8.0,13.1,1.7,2.0,dinner,non-veg
Braised Beef Or Chuck Stew,191.0,32.4,6.8,0.0,0.0,0.0,dinner,non-veg
Lamb Domestic Foreshank Separable Lean And Fat Trimmed To 1/8 Inch Fat Cooked Braised,243.0,28.4,13.5,0.0,0.0,0.0,dinner,non-veg
Chicken Broilers Or Fryers Dark Meat Meat Only Cooked Roasted,205.0,27.4,9.7,0.0,0.0,0.0,dinner,non-veg
Beef Chuck Short Ribs Boneless Separable Lean And Fat Trimmed To 0 Inch Fat Select Cooked Braised,287.0,25.8,20.4,0.0,0.0,0.0,dinner,non-veg
Beef Round Tip Round Roast Separable Lean Only Trimmed To 0 Inch Fat All Grades Raw,126.0,21.1,4.0,0.0,0.0,0.0,dinner,non-veg
Beef Round Tip Round Separable Lean And Fat Trimmed To 1/8 Inch Fat All Grades Raw,189.0,19.6,11.7,0.0,0.0,0.0,dinner,non-veg
Beef Loin Tenderloin Steak Boneless Separable Lean Only Trimmed To 0 Inch Fat Select Cooked Grilled,198.0,31.1,7.2,0.0,0.0,0.0,dinner,non-veg
Cooked Orange Roughy,105.0,22.6,0.9,0.0,0.0,0.0,lunch,non-veg
Pork Fresh Loin Country-Style Ribs Separable Lean Only Raw,140.0,20.8,5.6,0.0,0.0,0.0,dinner,non-veg
Beef Dried Chipped Cooked In Fat,229.0,27.9,11.9,2.5,0.0,2.4,dinner,non-veg
Beef New Zealand Imported Inside Raw,128.0,22.2,4.4,0.1,0.0,0.0,dinner,non-veg
Pork Pickled Pork Hocks,171.0,19.1,10.5,0.0,0.0,0.0,dinner,non-veg
Lamb Australian Imported Fresh Leg Bottom Boneless Separable Lean And Fat Trimmed To 1/8 Inch Fat Raw,187.0,21.0,11.4,0.0,0.0,0.0,dinner,non-veg
Cod Coated Baked Or Broiled Made With Cooking Spray,140.0,17.3,1.5,13.1,0.6,1.2,dinner,non-veg
Beef Loin Top Sirloin Cap Steak Boneless Separable Lean Only Trimmed To 1/8 Inch Fat Choice Raw,138.0,21.3,5.8,0.0,0.0,0.0,dinner,non-veg
Chicken Broilers Or Fryers Thigh Meat Only Cooked Rotisserie Original Seasoning,196.0,24.1,11.1,0.0,0.0,0.0,dinner,non-veg
Blue Crab,83.0,17.9,0.7,0.0,0.0,0.0,lunch,non-veg
Turkey Pork And Beef Sausage Low Fat Smoked,101.0,8.0,2.5,11.5,0.6,0.0,dinner,non-veg
Lamb New Zealand Imported Kidney Cooked Soaked And Fried,112.0,19.8,3.6,0.2,0.0,0.0,dinner,non-veg
Beef Australian Imported Wagyu Loin Tenderloin Steak/roast Boneless Separable Lean And Fat Aust. Marble Score 9 Raw,248.0,18.5,19.1,0.6,0.0,0.0,dinner,non-veg
Pork Roll Cured Fried,329.0,13.1,28.4,4.5,0.0,0.0,dinner,non-veg
Sea Bass Coated Baked Or Broiled Fat Not Added In Cooking,165.0,20.4,2.7,13.1,0.6,1.2,lunch,non-veg
Beef Short Loin Top Loin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat All Grades Raw,228.0,20.6,15.5,0.0,0.0,0.0,dinner,non-veg
Pork Fresh Variety  And By-Products Leaf Fat Raw,857.0,1.8,94.2,0.0,0.0,0.0,dinner,non-veg
Beef Loin Tenderloin Steak Boneless Separable Lean Only Trimmed To 0 Inch Fat All Grades Raw,139.0,21.9,5.7,0.0,0.0,0.0,dinner,non-veg
Beef And Noodles With Meat Sauce And Cheese Diet Frozen Meal,133.0,9.2,4.8,13.2,1.2,1.9,dinner,non-veg
Barracuda Baked Or Broiled Fat Added In Cooking,226.0,24.6,13.3,0.1,0.0,0.0,lunch,non-veg
Beef Variety  And By-Products Heart Raw,112.0,17.7,3.9,0.1,0.0,0.0,dinner,non-veg
Ham And Noodles With Cream Or White Sauce,140.0,6.8,5.6,15.3,0.7,1.5,dinner,non-veg
Perch Coated Fried Made With Oil,222.0,19.6,11.1,9.8,0.6,0.9,lunch,non-veg
Beef Top Sirloin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat All Grades Cooked Broiled,243.0,27.0,14.2,0.0,0.0,0.0,dinner,non-veg
Veal Roasted Ns As To Fat Eaten,229.0,29.8,11.3,0.0,0.0,0.0,dinner,non-veg
Pork Cured Ham -- Water Added Whole Boneless Separable Lean And Fat Unheated,121.0,17.1,5.4,1.4,0.0,1.4,dinner,non-veg
Shrimp And Vegetables Including Carrots Broccoli And/or Dark-Green Leafy; No Potatoes No Sauce,117.0,9.4,7.2,3.8,1.6,1.4,lunch,non-veg
Pork Shoulder Breast Boneless Separable Lean And Fat Raw,127.0,22.5,3.4,0.0,0.0,0.0,dinner,non-veg
Pastrami Turkey,139.0,16.3,6.2,3.3,0.1,3.3,dinner,non-veg
Raw Chicken Leg,214.0,16.4,16.0,0.2,0.0,0.0,dinner,non-veg
Lamb Australian Imported Fresh Leg Sirloin Half Boneless Separable Lean Only Trimmed To 1/8 Inch Fat Raw,138.0,20.5,5.6,0.0,0.0,0.0,dinner,non-veg
Beef Top Sirloin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat Select Raw,189.0,20.7,11.1,0.0,0.0,0.0,dinner,non-veg
Chili Con Carne With Beans Made With Pork,106.0,8.1,5.1,7.2,2.4,2.3,dinner,non-veg
Beef New Zealand Imported Rump Centre Separable Lean Only Raw,141.0,21.7,6.0,0.0,0.0,0.0,dinner,non-veg
Turkey Light And Dark Meat Roasted Skin Eaten,183.0,27.5,7.5,0.0,0.0,0.0,dinner,non-veg
Venison Or Deer Stew With Potatoes And Vegetables Excluding Carrots Broccoli And Dark-Green Leafy; Tomato-Based Sauce,72.0,7.8,0.8,8.4,1.6,1.9,dinner,non-veg
Veal Variety  And By-Products Pancreas Cooked Braised,256.0,29.1,14.6,0.0,0.0,0.0,dinner,non-veg
Canned Pink Salmon,136.0,24.6,4.2,0.0,0.0,0.0,dinner,non-veg
Chicken Or Turkey And Vegetables Excluding Carrots Broccoli And Dark-Green Leafy; No Potatoes Gravy,118.0,7.2,7.4,6.4,0.9,0.9,dinner,non-veg
Beef New Zealand Imported Eye Round Separable Lean Only Raw,116.0,20.2,3.4,1.4,0.0,0.0,dinner,non-veg
Beef Variety  And By-Products Kidneys Raw,99.0,17.4,3.1,0.3,0.0,0.0,dinner,non-veg
Beef Chuck Under Blade Center Steak Boneless Denver Cut Separable Lean Only Trimmed To 0 Inch Fat Choice Raw,178.0,19.2,11.0,0.7,0.0,0.0,dinner,non-veg
Opossum Cooked,220.0,30.1,10.2,0.0,0.0,0.0,dinner,non-veg
Haddock Coated Fried,207.0,16.9,10.7,9.8,0.6,0.9,lunch,non-veg
Beef Chuck Arm Pot Roast Separable Lean And Fat Trimmed To 1/8 Inch Fat All Grades Cooked Braised,302.0,30.1,19.2,0.0,0.0,0.0,dinner,non-veg
Beef Rib Small End (Ribs 10-12) Separable Lean And Fat Trimmed To 0 Inch Fat Select Cooked Broiled,285.0,24.9,19.8,0.0,0.0,0.0,dinner,non-veg
Beef Loin Top Sirloin Cap Steak Boneless Separable Lean Only Trimmed To 1/8 Inch Fat All Grades Raw,134.0,21.4,5.4,0.0,0.0,0.0,dinner,non-veg
Chicken Stewing Dark Meat Meat Only Raw,157.0,19.7,8.1,0.0,0.0,0.0,dinner,non-veg
Venison Or Deer Potatoes And Vegetables Excluding Carrots Broccoli And Dark-Green Leafy; Gravy,127.0,6.0,6.1,12.3,1.3,0.9,dinner,non-veg
Mollusks Oyster Eastern Cooked Breaded And Fried,199.0,8.8,12.6,11.6,0.0,0.0,lunch,non-veg
Clams Steamed Or Boiled,171.0,29.2,1.9,7.1,0.0,0.0,lunch,non-veg
Beef Chuck Shoulder Clod Shoulder Tender Medallion Separable Lean And Fat Trimmed To 0 Inch Fat Select Raw,142.0,20.9,5.8,0.0,0.0,0.0,dinner,non-veg
Pork Fresh Loin Sirloin (Roasts) Bone-In Separable Lean Only Cooked Roasted,204.0,27.8,9.4,0.0,0.0,0.0,dinner,non-veg
Lamb New Zealand Imported Leg Chop/steak Bone-In Separable Lean Only Raw,126.0,21.1,4.6,0.0,0.0,0.0,dinner,non-veg
Beef Ground 95% Lean Meat / 5% Fat Loaf Cooked Baked,174.0,27.3,6.4,0.0,0.0,0.0,dinner,non-veg
Chicken Or Turkey Garden Salad Chicken And/or Turkey Tomato And/or Carrots Other Vegetables No Dressing,62.0,10.2,1.3,2.9,1.2,1.2,dinner,non-veg
Game Meat Squirrel Raw,120.0,21.2,3.2,0.0,0.0,0.0,dinner,non-veg
Beef New Zealand Imported Bolar Blade Separable Lean And Fat Raw,159.0,21.3,8.2,0.0,0.0,0.0,dinner,non-veg
Shrimp Baked Or Broiled Made With Butter,112.0,16.2,4.2,1.2,0.0,0.0,lunch,non-veg
Beef Round Tip Round Roast Separable Lean And Fat Trimmed To 0 Inch Fat Select Raw,145.0,20.8,6.3,0.0,0.0,0.0,dinner,non-veg
Frankfurter Beef Low Fat,140.0,12.0,9.5,1.6,0.0,0.8,dinner,non-veg
Chicken Ns As To Part Baked Coated Skin / Coating Not Eaten,164.0,26.2,6.6,0.1,0.0,0.0,dinner,non-veg
Grouper Mixed Species Raw,92.0,19.4,1.0,0.0,0.0,0.0,lunch,non-veg
Anchovies (Raw),131.0,20.4,4.8,0.0,0.0,0.0,lunch,non-veg
Chicken Dark Meat Thigh Meat Only With Added Solution Raw,110.0,19.1,3.7,0.0,0.0,0.0,dinner,non-veg
Smoked Sturgeon,173.0,31.2,4.4,0.0,0.0,0.0,lunch,non-veg
Butterfish Raw,146.0,17.3,8.0,0.0,0.0,0.0,lunch,non-veg
Chicken Ns As To Part Rotisserie Skin Eaten,196.0,25.1,10.6,0.1,0.0,0.1,dinner,non-veg
Frankfurter Or Hot Dog Meat And Poultry Reduced Fat Or Light,127.0,16.3,3.0,8.8,0.1,0.0,dinner,non-veg
Fried Calamari,175.0,17.9,7.5,7.8,0.0,0.0,lunch,non-veg
Beef Australian Imported Grass-Fed Round Bottom Round Steak/roast Boneless Separable Lean And Fat Raw,140.0,21.1,6.2,0.0,0.0,0.0,dinner,non-veg
Scallops And Noodles With Cheese Sauce,145.0,8.5,5.6,15.0,0.6,0.3,lunch,non-veg
Lamb Domestic Leg Shank Half Separable Lean And Fat Trimmed To 1/4 Inch Fat Choice Raw,201.0,18.6,13.5,0.0,0.0,0.0,dinner,non-veg
Sausage Italian Turkey Smoked,158.0,15.0,8.8,4.6,0.9,3.2,dinner,non-veg
Pork Ns As To Cut Fried Lean Only Eaten,164.0,29.1,4.6,0.1,0.0,0.0,dinner,non-veg
Chicken Breast Baked Or Broiled Skin Not Eaten From Fast Food / Restaurant,175.0,29.6,5.4,0.0,0.0,0.0,dinner,non-veg
Chicken Broilers Or Fryers Wing Meat Only Cooked Fried,211.0,30.2,9.2,0.0,0.0,0.0,dinner,non-veg
Beef New Zealand Imported Variety  And By-Products Heart Raw,105.0,18.5,3.4,0.0,0.0,0.0,dinner,non-veg
Chicken With Noodles And Cheese Sauce Diet Frozen Meal,119.0,10.9,2.9,11.7,0.7,0.3,dinner,non-veg
Lamb Or Mutton Rice And Vegetables  Including Carrots Broccoli And/or Dark-Green Leafy; Gravy,132.0,5.0,5.5,15.2,0.8,0.6,dinner,non-veg
Cooked Yellowfin Tuna,130.0,29.2,0.6,0.0,0.0,0.0,dinner,non-veg
Perch Coated Fried Made Without Fat,170.0,23.0,2.8,11.6,0.7,1.0,lunch,non-veg
Beef Rib Large End (Ribs 6-9) Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Cooked Roasted,378.0,22.5,31.3,0.0,0.0,0.0,dinner,non-veg
Beef Chuck Eye Roast Boneless Americas Beef Roast Separable Lean Only Trimmed To 0 Inch Fat Select Cooked Roasted,172.0,27.0,7.1,0.0,0.0,0.0,dinner,non-veg
Chicken Or Turkey Breaded Fried Garden Salad With Cheese Chicken And/or Turkey Cheese Lettuce And/or Greens Tomato And/or Carrots Other Vegetables No Dressing,120.0,6.5,7.8,6.4,1.5,1.4,dinner,non-veg
Beef Rib Small End (Ribs 10-12) Separable Lean Only Trimmed To 0 Inch Fat Select Cooked Broiled,198.0,28.0,8.7,0.0,0.0,0.0,dinner,non-veg
Eel Steamed Or Poached,231.0,23.2,14.7,0.0,0.0,0.0,lunch,non-veg
Beef Brisket Whole Separable Lean Only Trimmed To 0 Inch Fat All Grades Cooked Braised,218.0,29.8,10.1,0.0,0.0,0.0,dinner,non-veg
Pork And Rice With Tomato-Based Sauce,139.0,6.4,5.0,16.8,0.7,1.2,dinner,non-veg
Beef Dumplings And Vegetables Excluding Carrots Broccoli And Dark-Green Leafy; Gravy,129.0,6.1,6.1,12.7,0.8,1.1,dinner,non-veg
Beef Short Loin T-Bone Steak Separable Lean And Fat Trimmed To 0 Inch Fat USDA Select Cooked Broiled,230.0,24.4,14.0,0.0,0.0,0.0,dinner,non-veg
Game Meat Bison Separable Lean Only Raw,109.0,21.6,1.8,0.0,0.0,0.0,dinner,non-veg
Beef Rib Whole (Ribs 6-12) Separable Lean And Fat Trimmed To 1/8 Inch Fat All Grades Cooked Broiled,337.0,22.4,26.8,0.0,0.0,0.0,dinner,non-veg
Mollusks Oyster Eastern Wild Raw,51.0,5.7,1.7,2.7,0.0,0.6,lunch,non-veg
Lamb Or Mutton Stew With Potatoes And Vegetables Including Carrots Broccoli And/or Dark-Green Leafy; Tomato-Based Sauce,97.0,8.2,1.9,11.7,1.9,1.7,dinner,non-veg
Chicken Or Turkey A La King With Vegetables Excluding Carrorts Broccoli And Dark-Green Leafy; No Potatoes Cream White Or Soup-Based Sauce,180.0,9.5,13.3,6.2,0.5,2.5,dinner,non-veg
Pork Fresh Backribs Separable Lean And Fat Raw,224.0,19.1,16.3,0.0,0.0,0.0,dinner,non-veg
Croaker Atlantic Raw,104.0,17.8,3.2,0.0,0.0,0.0,lunch,non-veg
Pork Cured Ham -- Water Added Rump Bone-In Separable Lean And Fat Unheated,172.0,14.0,12.5,0.8,0.0,0.6,dinner,non-veg
Whiting Coated Baked Or Broiled Made With Margarine,182.0,19.4,5.5,12.6,0.6,1.1,lunch,non-veg
Beef Rib Eye Roast Boneless Lip-On Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Cooked Roasted,303.0,23.9,23.0,0.0,0.0,0.0,dinner,non-veg
Beef Rib Large End (Ribs 6-9) Separable Lean And Fat Trimmed To 1/8 Inch Fat Prime Raw,367.0,15.8,33.3,0.0,0.0,0.0,dinner,non-veg
Chicken Breast Deli Rotisserie Seasoned Sliced Prepackaged,98.0,17.4,1.9,2.9,0.0,0.8,dinner,non-veg
Cooked Blue Mussels,172.0,23.8,4.5,7.4,0.0,0.0,lunch,non-veg
Lamb Domestic Loin Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Cooked Broiled,297.0,26.1,20.6,0.0,0.0,0.0,dinner,non-veg
Queen Crab (Cooked),115.0,23.7,1.5,0.0,0.0,0.0,lunch,non-veg
Chicken Capons Meat And Skin Raw,234.0,18.8,17.1,0.0,0.0,0.0,dinner,non-veg
Perch Coated Baked Or Broiled Made With Butter,194.0,20.4,6.3,12.5,0.6,1.1,lunch,non-veg
Beef Top Loin Petite Roast Boneless Separable Lean Only Trimmed To 1/8 Inch Fat Choice Cooked Roasted,206.0,28.2,10.0,0.9,0.0,0.0,dinner,non-veg
Lamb Australian Imported Fresh Seam Fat Raw,459.0,15.6,44.0,0.0,0.0,0.0,dinner,non-veg
Beef Rib Small End (Ribs 10-12) Separable Lean And Fat Trimmed To 1/8 Inch Fat Prime Cooked Broiled,354.0,24.1,27.9,0.0,0.0,0.0,dinner,non-veg
Sausage With Tomato-Based Sauce,234.0,13.3,19.1,2.6,0.4,1.8,dinner,non-veg
Beef Ground 85% Lean Meat / 15% Fat Loaf Cooked Baked,240.0,25.9,14.4,0.0,0.0,0.0,dinner,non-veg
Beef Loin Top Sirloin Cap Steak Boneless Separable Lean Only Trimmed To 1/8 Inch Fat Select Cooked Grilled,170.0,28.4,6.1,0.2,0.0,0.0,dinner,non-veg
Chicken Ns As To Part And Cooking Method Skin Eaten,196.0,25.1,10.6,0.1,0.0,0.1,dinner,non-veg
Pork Pig's Hocks Cooked,233.0,24.7,14.2,0.0,0.0,0.0,dinner,non-veg
Veal Leg (Top Round) Separable Lean And Fat Raw,117.0,21.0,3.1,0.0,0.0,0.0,dinner,non-veg
Lamb Domestic Leg Sirloin Half Separable Lean And Fat Trimmed To 1/4 Inch Fat Choice Raw,272.0,16.9,22.1,0.0,0.0,0.0,dinner,non-veg
Lamb New Zealand Imported Frozen Composite Of Trimmed Retail Cuts Separable Lean And Fat Raw,277.0,16.7,22.7,0.0,0.0,0.0,dinner,non-veg
Pork Fresh Composite Of Trimmed Retail Cuts (Loin And Shoulder Blade) Separable Lean Only Cooked,211.0,29.5,9.4,0.0,0.0,0.0,dinner,non-veg
Beef Top Sirloin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Cooked Pan-Fried,313.0,28.8,21.1,0.0,0.0,0.0,dinner,non-veg
Beef Ground 95% Lean Meat / 5% Fat Patty Cooked Pan-Broiled,164.0,25.8,5.9,0.0,0.0,0.0,dinner,non-veg
Pork Fresh Loin Top Loin (Chops) Boneless Separable Lean And Fat With Added Solution Raw,171.0,19.4,10.3,0.0,0.0,0.0,dinner,non-veg
Crab Deviled,187.0,11.9,9.6,13.3,0.6,4.7,lunch,non-veg
Emu Full Rump Raw,112.0,22.8,1.6,0.0,0.0,0.0,dinner,non-veg
Lamb Sirloin,204.0,28.4,9.2,0.0,0.0,0.0,dinner,non-veg
Beef Rib Large End (Ribs 6-9) Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Cooked Broiled,370.0,20.9,31.2,0.0,0.0,0.0,dinner,non-veg
Swordfish Cooked Ns As To Cooking Method,209.0,24.1,11.8,0.1,0.0,0.0,lunch,non-veg
Pork Cured Ham Extra Lean (Approximately 4% Fat) Canned Roasted,136.0,21.2,4.9,0.5,0.0,0.0,dinner,non-veg
Ns As To Type Coated Baked Or Broiled Made With Butter,210.0,19.2,8.8,12.5,0.6,1.1,lunch,non-veg
Chicken Or Turkey And Rice With Mushroom Sauce,135.0,5.7,5.5,15.4,0.4,0.6,dinner,non-veg
Pork Fresh Shoulder (Boston Butt) Blade (Steaks) Separable Lean And Fat Cooked Braised,267.0,25.1,17.7,0.0,0.0,0.0,dinner,non-veg
Beef Steak Braised Ns As To Fat Eaten,251.0,30.8,13.2,0.0,0.0,0.0,dinner,non-veg
Chicken Or Turkey Potatoes And Vegetables Including Carrots Broccoli And/or Dark-Green Leafy; Cheese Sauce,128.0,7.5,5.9,11.7,1.4,1.0,dinner,non-veg
Lamb Australian Imported Fresh Leg Sirloin Chops Boneless Separable Lean And Fat Trimmed To 1/8 Inch Fat Raw,208.0,18.3,14.4,0.0,0.0,0.0,dinner,non-veg
Beef Chuck Eye Country-Style Ribs Boneless Separable Lean Only Trimmed To 0 Inch Fat Choice Raw,152.0,20.9,7.7,0.0,0.0,0.0,dinner,non-veg
Shad American Cooked Dry Heat,252.0,21.7,17.6,0.0,0.0,0.0,lunch,non-veg
Chicken Thigh Baked Coated Skin / Coating Not Eaten,192.0,24.1,9.9,0.0,0.0,0.0,dinner,non-veg
Beef Short Loin Porterhouse Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat All Grades Cooked Grilled,276.0,25.4,18.6,0.0,0.0,0.0,dinner,non-veg
Game Meat Rabbit Wild Raw,114.0,21.8,2.3,0.0,0.0,0.0,dinner,non-veg
Quail Breast Meat Only Raw,123.0,22.6,3.0,0.0,0.0,0.0,dinner,non-veg
Beef Variety  And By-Products Tongue Cooked Simmered,284.0,19.3,22.3,0.0,0.0,0.0,dinner,non-veg
Turkey Diced Light And Dark Meat Seasoned,138.0,18.7,6.0,1.0,0.0,0.0,dinner,non-veg
Frankfurter Or Hot Dog Meat And Poultry Fat Free,115.0,13.2,1.7,11.8,0.0,0.0,dinner,non-veg
Chicken Thigh Fried Coated Skin / Coating Not Eaten From Fast Food,217.0,19.4,12.8,6.2,0.2,0.1,dinner,non-veg
Beef Loin Top Loin Separable Lean And Fat Trimmed To 1/8 Inch Fat Select Raw,224.0,20.6,15.0,0.0,0.0,0.0,dinner,non-veg
Creamed Dried Beef On Toast,127.0,10.9,5.9,7.7,0.2,4.1,break-fast,non-veg
Beef Loin Top Sirloin Petite Roast/filet Boneless Separable Lean Only Trimmed To 0 Inch Fat All Grades Raw,128.0,23.0,4.0,0.0,0.0,0.0,dinner,non-veg
Beef Shoulder Pot Roast Or Steak Boneless Separable Lean Only Trimmed To 0 Inch Fat Choice Raw,125.0,21.4,4.4,0.1,0.0,0.0,dinner,non-veg
Croaker Steamed Or Poached,131.0,22.4,4.0,0.0,0.0,0.0,lunch,non-veg
Tuna Fresh Steamed Or Poached,137.0,30.7,0.6,0.0,0.0,0.0,dinner,non-veg
Chicken Ns As To Part And Cooking Method Ns As To Skin Eaten,164.0,26.8,6.4,0.0,0.0,0.0,dinner,non-veg
Turkey Mechanically Deboned From Turkey Frames Raw,201.0,13.3,16.0,0.0,0.0,0.0,dinner,non-veg
Beef Plate Outside Skirt Steak Separable Lean Only Trimmed To 0 Inch Fat All Grades Cooked Broiled,233.0,24.2,14.4,0.0,0.0,0.0,dinner,non-veg
Haddock Raw,74.0,16.3,0.4,0.0,0.0,0.0,lunch,non-veg
Beef Chuck Under Blade Center Steak Boneless Denver Cut Separable Lean Only Trimmed To 0 Inch Fat Select Cooked Grilled,209.0,26.5,11.5,0.0,0.0,0.0,dinner,non-veg
Salisbury Steak With Gravy Potatoes Vegetable Soup Or Macaroni And Cheese Dessert Frozen Meal,111.0,6.7,5.0,9.7,1.0,2.6,dinner,non-veg
Cooked Pacific Oysters,163.0,18.9,4.6,9.9,0.0,0.0,lunch,non-veg
Chicken Or Turkey Fricassee With Sauce No Potatoes Potatoes Reported Separately Puerto Rican Style,179.0,14.0,12.8,2.6,0.7,1.2,dinner,non-veg
Pork Cured Ham And Water Product Shank Bone-In Unheated Separable Lean Only,113.0,17.5,4.2,1.2,0.0,1.1,dinner,non-veg
Beef Variety  And By-Products Thymus Raw,236.0,12.2,20.4,0.0,0.0,0.0,dinner,non-veg
Beef Rib Whole (Ribs 6-12) Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Cooked Roasted,365.0,22.6,29.8,0.0,0.0,0.0,dinner,non-veg
Beef Short Loin Porterhouse Steak Separable Lean Only Trimmed To 1/8 Inch Fat All Grades Raw,155.0,22.3,6.6,0.0,0.0,0.0,dinner,non-veg
Yellowfin Tuna (Raw),109.0,24.4,0.5,0.0,0.0,0.0,dinner,non-veg
Squid Dried,348.0,58.9,5.2,11.6,0.0,0.0,lunch,non-veg
Beef Chuck Shoulder Clod Top Blade Steak Separable Lean And Fat Trimmed To 0 Inch Fat Select Cooked Grilled,212.0,25.3,11.5,0.0,0.0,0.0,dinner,non-veg
Pork Cured Ham Extra Lean And Regular Canned Roasted,167.0,20.9,8.4,0.5,0.0,0.0,dinner,non-veg
Lamb Domestic Loin Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Cooked Roasted,290.0,23.3,21.1,0.0,0.0,0.0,dinner,non-veg
Carp Cooked Ns As To Cooking Method,253.0,18.2,15.1,9.8,0.6,0.9,lunch,non-veg
Lamb New Zealand Imported Loin Saddle Separable Lean Only Raw,131.0,20.9,5.3,0.0,0.0,0.0,dinner,non-veg
Pork Chop Fried Lean And Fat Eaten,211.0,27.7,10.5,0.0,0.0,0.0,dinner,non-veg
Stewed Rabbit Puerto Rican Style,210.0,17.2,12.4,6.8,1.0,0.9,dinner,non-veg
Beef New Zealand Imported Rump Centre Separable Lean Only Cooked Fast Fried,188.0,30.2,7.5,0.0,0.0,0.0,dinner,non-veg
Beef Wellington,368.0,19.1,27.4,10.1,0.4,0.1,dinner,non-veg
Steak Ns As To Type Of Meat Cooked Lean Only Eaten,184.0,29.2,6.8,0.0,0.0,0.0,dinner,non-veg
Lamb Domestic Composite Of Trimmed Retail Cuts Separable Fat Trimmed To 1/4 Inch Fat Choice Cooked,586.0,12.2,59.2,0.0,0.0,0.0,dinner,non-veg
Venison Or Deer Stew With Potatoes And Vegetables Including Carrots Broccoli And/or Dark-Green Leafy; Tomato-Based Sauce,71.0,7.5,0.8,8.4,1.6,2.0,dinner,non-veg
Chicken Ground Raw,143.0,17.4,8.1,0.0,0.0,0.0,dinner,non-veg
Turkey Retail Parts Breast Meat And Skin With Added Solution Raw,144.0,20.8,6.8,0.0,0.0,0.0,dinner,non-veg
Pancakes And Sausage Frozen Meal,270.0,8.9,13.7,27.7,0.6,9.6,break-fast,non-veg
Beef Chuck Under Blade Pot Roast Or Steak Boneless Separable Lean Only Trimmed To 0 Inch Fat Choice Raw,145.0,21.2,6.5,0.4,0.0,0.0,dinner,non-veg
Lobster Coated Baked Or Broiled Fat Added In Cooking,184.0,17.3,6.9,12.2,0.6,1.1,lunch,non-veg
Beef Ground 97% Lean Meat / 3% Fat Raw,121.0,22.0,3.0,0.0,0.0,0.0,dinner,non-veg
Beef Goulash With Noodles,142.0,12.5,5.1,10.9,0.7,0.8,dinner,non-veg
Chicken Broilers Or Fryers Neck Meat And Skin Cooked Fried Batter,330.0,19.8,23.5,8.7,0.0,0.0,dinner,non-veg
Chicken Back,298.0,25.7,20.8,0.0,0.0,0.0,dinner,non-veg
Lamb Domestic Loin Separable Lean Only Trimmed To 1/4 Inch Fat Choice Cooked Broiled,216.0,30.0,9.7,0.0,0.0,0.0,dinner,non-veg
Beef Round Bottom Round  Roast Separable Lean Only Trimmed To 1/8 Inch Fat Select Cooked Roasted,164.0,28.4,4.7,0.0,0.0,0.0,dinner,non-veg
Beef And Vegetables Including Carrots Broccoli And/or Dark-Green Leafy; No Potatoes Gravy,115.0,8.1,7.3,4.5,1.0,1.0,dinner,non-veg
Beef Rib Whole (Ribs 6-12) Separable Lean And Fat Trimmed To 1/8 Inch Fat Prime Cooked Broiled,386.0,22.0,32.4,0.0,0.0,0.0,dinner,non-veg
Game Meat Bison Top Sirloin Separable Lean Only Trimmed To 0 Inch Fat Raw,113.0,21.4,2.4,0.0,0.0,0.0,dinner,non-veg
Cake Or Patty Ns As To,204.0,13.9,10.7,12.6,0.9,0.8,snacks,non-veg
Pork Potatoes And Vegetables Excluding Carrots Broccoli And Dark-Green Leafy; No Sauce,133.0,6.6,5.4,14.9,1.7,1.1,dinner,non-veg
Mullet Striped Cooked Dry Heat,150.0,24.8,4.9,0.0,0.0,0.0,lunch,non-veg
Chicken Or Turkey Shish Kabob With Vegetables Excluding Potatoes,103.0,13.0,3.7,5.0,0.9,2.3,dinner,non-veg
Lamb New Zealand Imported Loin Saddle Separable Lean And Fat Raw,273.0,16.6,22.9,0.2,0.0,0.0,dinner,non-veg
