food_name,calories,protein,fat,carbs,fiber,sugar,meal_type,cat
Mixed Salad Greens Raw,17.0,1.5,0.2,3.2,2.0,0.9,lunch,vegan
Lima Beans,115.0,7.8,0.4,20.9,7.0,2.9,lunch,vegan
Syrups Table Blends Pancake With 2% Maple With Added Potassium,265.0,0.0,0.1,69.6,0.0,0.0,break-fast,vegan
Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Canned Fat Not Added In Cooking,131.0,8.4,0.6,23.5,6.3,4.4,lunch,vegan
Broccoli Cooked Ns As To Form Made With Oil,48.0,3.0,2.5,5.2,2.9,1.4,lunch,vegan
Soup Onion Dry Mix,293.0,7.5,0.3,65.1,6.6,4.6,lunch,vegan
French Toast Plain From Fast Food / Restaurant,306.0,9.5,13.7,35.8,1.6,10.3,break-fast,vegan
Restaurant Chinese Beef And Vegetables,105.0,7.1,5.3,7.3,1.5,2.4,dinner,vegan
Cheese Cottage Cheese With Gelatin Dessert,81.0,6.6,2.3,8.4,0.0,7.7,break-fast,vegan
Gravy Turkey Canned Ready-To-Serve,51.0,2.6,2.1,5.1,0.4,0.2,lunch,vegan
Ocean Spray Diet Cran Cherry,4.0,0.2,0.0,0.7,0.6,0.2,break-fast,vegan
Egg Omelet Or Scrambled Egg With Cheese Meat And Vegetables Other Than Dark-Green And/or Tomatoes Ns As To Fat Added In Cooking,228.0,13.1,18.1,2.7,0.2,1.5,break-fast,vegan
Canned Minestrone,53.0,2.1,1.2,8.6,2.4,2.2,lunch,vegan
Cabbage With Meat Soup Home Recipe Canned Or Ready-To-Serve,46.0,4.8,1.3,4.0,0.8,1.1,lunch,vegan
Milk Nfs,51.0,3.3,2.0,4.8,0.0,5.1,break-fast,vegan
Farina Unenriched Dry,369.0,10.6,0.5,78.0,1.9,0.0,break-fast,vegan
Rutabaga Cooked Fat Not Added In Cooking,30.0,0.9,0.2,6.8,1.8,3.9,lunch,vegan
